,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"查詢條件：
[資料類型]指標-發生率
[統計值]年齡別率
[年度]1979-2010
[性別]男性及女性
[年齡]全部-
[鄉鎮]松山區, 
[癌症部位]口腔、口咽及下咽, 主唾液腺, 鼻咽, 消化器官及腹膜, 呼吸系統及胸腔內器..., 骨、關節及關節軟骨, 結締組織、皮下組織..., 皮膚, 女性乳房, 男性乳房, 女性生殖器官, 男性生殖器官, 泌尿器官, 眼及淚腺, 中樞神經系統, 內分泌腺, 其他分界不明的部位, 惡性淋巴瘤, 不明原發部位, 白血病, 其他, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"欄位說明：
分率=某特定癌症數÷總癌症數×100
粗率=（某特定癌症新診斷或死亡人數÷總人口數）×100000
年齡別率=（某年齡層癌症新診斷或死亡人數÷某年齡層人口數）×100000
標準化率=Σ（某特定年齡別率×該年齡層標準人口數）÷Σ（某特定年齡層標準人口數）×100000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,台灣男性每10萬人口年齡別發生率，1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,診斷年齡,口腔癌,,小腸,,主唾液腺,,甲狀腺,,白血病,,皮膚,,,,,肝及肝內膽管,,其他分界不明的部位,,其他男性生殖器官,,其它淋巴瘤,,直腸與肛門,,肺、支氣管及氣管,,胃,,食道,,胰,,喉,,結直腸癌,,腎盂及其他泌尿系統,,膀胱,,鼻咽,,攝護腺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,,,,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5~9,,,,,,,,,1,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10~14,,,,,,,2,10.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15~19,1,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20~24,,,,,,,,,,,,,,,,,,,,,,1,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30~34,,,,,,,,,,,,,,,,,,1,6.85,,,,,,,,,,,,,,,,,1,6.85,,,,,2,13.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35~39,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.45,1,8.45,,,,,,,,,,,,,1,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40~44,,,,,,,,,,,1,,,,11.34,2,22.67,,,,,,,,,,,,,1,11.34,,,,,2,22.67,,,,,1,11.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45~49,,,,,,,,,,,,,,,,,,,,,,,,,,2,21.92,,,,,1,10.96,,,,,,,1,10.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50~54,,,,,,,,,1,9.04,,,,,,2,18.07,,,,,1,9.04,2,18.07,1,9.04,2,18.07,2,18.07,,,,,1,9.04,,,,,3,27.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55~59,1,10.89,1,10.89,,,,,,,,,,,,2,21.79,1,10.89,,,,,4,43.57,2,21.79,2,21.79,,,,,1,10.89,3,32.68,,,2,21.79,,,1,10.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60~64,,,,,1,16.69,,,,,,,,,,1,16.69,,,,,,,1,16.69,7,116.82,4,66.76,2,33.38,,,,,2,33.38,1,16.69,2,33.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65~69,,,,,1,24.03,,,,,,,,,,1,24.03,,,,,,,1,24.03,4,96.13,5,120.16,2,48.07,,,1,24.03,1,24.03,,,1,24.03,1,24.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70~74,,,,,1,46.51,,,,,1,,,,46.51,1,46.51,,,1,46.51,1,46.51,,,,,1,46.51,1,46.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75~79,,,,,,,,,,,,,,,,,,,,,,,,,,2,197.82,1,98.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80~84,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,308.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,85+,,,,,,,,,,,,,,,,,,,,,,,,,,1,925.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,台灣男性每10萬人口年齡別發生率，1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,診斷年齡,口腔癌,,不明原發部位,,主唾液腺,,白血病,,皮膚,,肝及肝內膽管,,,,,其他分界不明的部位,,其他男性生殖器官,,其它淋巴瘤,,直腸與肛門,,肺、支氣管及氣管,,非何杰金氏淋巴瘤,,胃,,食道,,骨、關節及關節軟骨,,造血系統及網狀內皮系統,,喉,,結直腸癌,,腎盂及其他泌尿系統,,睪丸,,腦,,膀胱,,鼻咽,,鼻腔、中耳及副鼻竇,,膽囊及肝外膽管,,攝護腺,,,,,,,,,,,,,,,,,,,
,,,,,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,,,,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,,,,,,,,,,,,,,,,,,
,,,,5~9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.37,,,,,,,,,1,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10~14,,,,,,,1,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.32,,,,,,,,,,,,,1,5.32,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15~19,,,,,,,1,5.29,,,,,,,,,,,,,,,,,,,,,,,,2,10.57,1,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20~24,,,,,,,1,5.49,1,5.49,,,,,,1,5.49,,,,,,,,,,,,,,,,,,,,,1,5.49,,,,,1,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25~29,,,,,,,,,,,,,,,,,,,,,,1,5.11,,,,,,,,,1,5.11,,,,,,,1,5.11,,,,,,,1,5.11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30~34,,,,,,,1,6.21,,,1,,,,6.21,,,,,,,,,,,,,1,6.21,,,,,,,,,1,6.21,,,1,6.21,,,,,1,6.21,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35~39,,,,,,,,,,,3,,,,26.32,,,,,,,1,8.77,,,,,,,1,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40~44,,,1,10.61,,,,,,,,,,,,,,,,,,1,10.61,,,,,,,,,,,,,,,1,10.61,,,,,1,10.61,,,1,10.61,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45~49,1,11.65,,,,,,,,,1,,,,11.65,,,,,,,1,11.65,3,34.95,1,11.65,1,11.65,,,,,,,,,1,11.65,,,,,,,,,4,46.60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50~54,3,28.15,1,9.38,1,9.38,1,9.38,2,18.76,8,,,,75.05,,,,,,,1,9.38,4,37.53,,,1,9.38,1,9.38,,,1,9.38,,,3,28.15,,,,,1,9.38,3,28.15,1,9.38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,55~59,3,30.90,1,10.30,,,1,10.30,,,6,,,,61.80,,,1,10.30,,,2,20.60,8,82.40,,,4,41.20,1,10.30,,,1,10.30,,,2,20.60,,,,,2,20.60,,,1,10.30,1,10.30,1,10.30,,,,,,,,,,,,,,,,,,,,
,,,,60~64,1,15.38,,,,,2,30.75,1,15.38,,,,,,,,,,,,2,30.75,11,169.13,,,9,138.38,3,46.13,,,,,,,4,61.50,,,,,,,2,30.75,2,30.75,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65~69,1,22.60,,,1,22.60,,,1,22.60,5,,,,113.02,,,2,45.21,1,22.60,1,22.60,8,180.83,,,8,180.83,2,45.21,,,2,45.21,,,3,67.81,1,22.60,,,,,2,45.21,1,22.60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70~74,,,1,43.10,,,1,43.10,,,2,,,,86.21,,,,,,,,,3,129.31,,,6,258.62,1,43.10,,,,,1,43.10,3,129.31,,,,,,,,,,,,,1,43.10,2,86.21,,,,,,,,,,,,,,,,,,
