,,,,,,,,,,,,
,"查詢條件：
[資料類型]指標-發生率
[統計值]年齡別率
[年度]1979-2010
[性別]男性及女性
[年齡]全部-
[鄉鎮]烏坵鄉, 
[癌症部位]口腔、口咽及下咽, 主唾液腺, 鼻咽, 消化器官及腹膜, 呼吸系統及胸腔內器..., 骨、關節及關節軟骨, 結締組織、皮下組織..., 皮膚, 女性乳房, 男性乳房, 女性生殖器官, 男性生殖器官, 泌尿器官, 眼及淚腺, 中樞神經系統, 內分泌腺, 其他分界不明的部位, 惡性淋巴瘤, 不明原發部位, 白血病, 其他, ",,,,,,,,,,,
,,,,,,,,,,,,
,"欄位說明：
分率=某特定癌症數÷總癌症數×100
粗率=（某特定癌症新診斷或死亡人數÷總人口數）×100000
年齡別率=（某年齡層癌症新診斷或死亡人數÷某年齡層人口數）×100000
標準化率=Σ（某特定年齡別率×該年齡層標準人口數）÷Σ（某特定年齡層標準人口數）×100000",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,台灣男性每10萬人口年齡別發生率，1980年,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,診斷年齡,胃,,,,,,,
,,,,,個案數,發生率,,,,,,
,,,,55~59,1,100000.00,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,台灣男性每10萬人口年齡別發生率，1991年,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,診斷年齡,淋巴結,,,,,,,
,,,,,個案數,發生率,,,,,,
,,,,25~29,1,16666.67,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,台灣男性每10萬人口年齡別發生率，2004年,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,診斷年齡,肝及肝內膽管,,胃,,,,,
,,,,,個案數,發生率,個案數,發生率,,,,
,,,,40~44,1,6666.67,,,,,,
,,,,75~79,,,1,50000.00,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,台灣男性每10萬人口年齡別發生率，2006年,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,診斷年齡,肝及肝內膽管,,,,,,,
,,,,,個案數,發生率,,,,,,
,,,,65~69,1,14285.71,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,台灣男性每10萬人口年齡別發生率，2009年,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,診斷年齡,攝護腺,,,,,,,
,,,,,個案數,發生率,,,,,,
,,,,70~74,1,16666.67,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,台灣女性每10萬人口年齡別發生率，1980年,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,診斷年齡,腦,,,,,,,
,,,,,個案數,發生率,,,,,,
,,,,50~54,1,50000.00,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,台灣女性每10萬人口年齡別發生率，1982年,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,診斷年齡,其他內分泌腺,,肺、支氣管及氣管,,,,,
,,,,,個案數,發生率,個案數,發生率,,,,
,,,,20~24,1,11111.11,,,,,,
,,,,65~69,,,1,33333.33,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,台灣女性每10萬人口年齡別發生率，2006年,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,診斷年齡,女性乳房,,,,,,,
,,,,,個案數,發生率,,,,,,
,,,,45~49,1,10000.00,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
