,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"查詢條件：
[資料類型]指標-發生率
[統計值]年齡別率
[年度]1979-2010
[性別]男性及女性
[年齡]全部-
[鄉鎮]彰化市, 鹿港鎮, 北斗鎮, 員林鎮, 溪湖鎮, 田中鎮, 二林鎮, 線西鄉, 伸港鄉, 
[癌症部位]口腔、口咽及下咽, 主唾液腺, 鼻咽, 消化器官及腹膜, 呼吸系統及胸腔內器..., 骨、關節及關節軟骨, 結締組織、皮下組織..., 皮膚, 女性乳房, 男性乳房, 女性生殖器官, 男性生殖器官, 泌尿器官, 眼及淚腺, 中樞神經系統, 內分泌腺, 其他分界不明的部位, 惡性淋巴瘤, 不明原發部位, 白血病, 其他, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"欄位說明：
分率=某特定癌症數÷總癌症數×100
粗率=（某特定癌症新診斷或死亡人數÷總人口數）×100000
年齡別率=（某年齡層癌症新診斷或死亡人數÷某年齡層人口數）×100000
標準化率=Σ（某特定年齡別率×該年齡層標準人口數）÷Σ（某特定年齡層標準人口數）×100000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,台灣男性每10萬人口年齡別發生率，1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,診斷年齡,口腔癌,,小腸,,不明原發部位,,白血病,,皮膚,,何杰金氏淋巴瘤,,,,,肝及肝內膽管,,其他內分泌腺,,其他分界不明的部位,,其它淋巴瘤,,直腸與肛門,,肺、支氣管及氣管,,非何杰金氏淋巴瘤,,胃,,食道,,胰,,胸腺、心臟與中隔,,骨、關節及關節軟骨,,淋巴結,,造血系統及網狀內皮系統,,喉,,結直腸癌,,結締組織、皮下組織及其他軟組織,,腎,,腦,,膀胱,,鼻咽,,膽囊及肝外膽管,,攝護腺,,,,,,,,,,,,,,,,,,,
,,,,,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,,,,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,個案數,發生率,,,,,,,,,,,,,,,,,,
,,,,0~4,,,,,,,,,,,,,,,,,,1,8.97,,,1,8.97,,,,,,,,,,,,,,,,,,,2,17.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5~9,,,,,,,2,44.87,,,,,,,,1,46.73,,,,,,,,,,,,,,,,,,,1,25.83,,,,,,,,,,,,,,,1,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10~14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62.31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15~19,,,,,,,,,,,,,,,,,,,,1,10.30,,,,,,,1,10.30,,,,,,,,,,,,,,,,,,,1,16.80,,,,,,,1,10.30,,,,,,,,,,,,,,,,,,,,,,
,,,,20~24,1,27.37,,,1,10.99,1,60.68,,,,,,,,,,,,,,1,40.87,2,21.97,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25~29,1,30.09,,,,,,,,,,,,,,1,30.09,,,,,2,60.86,,,1,84.96,,,,,,,,,,,,,,,1,21.44,,,,,,,,,,,,,1,11.70,,,,,,,,,,,,,,,,,,,,,,
